payer_name,beneficiary_name,date,purpose,amount_orig_currency,amount_orig,amount_usd,amount_eur,investigation
AZARBAYCAN METANOL KOMPANI MMC,LCM ALLIANCE LLP,2012-06-30,1206295100052180 OCT4121800021 ADVANCE PAYM FOR THE INST RUMENTATIO N AND CONTROL CABLES BOM IN ACC WIT H THE CON TR DD 25.06.2012,USD,535470,535470,431762.31,az
LCM ALLIANCE LLP,MOBILA LLP,2012-07-03,1207035026699176 INVOICE.No 6215 DD 25.05.2012,USD,-535000,535000,423688.44,az
SKN ELECTRICAL SERVICES LIMITEDACCO,METASTAR INVEST LLP,2012-07-06,"1207065103089249   /FEE/USD4,81",USD,90535.19,90536,71698.53,az
METASTAR INVEST LLP,INMAXO CAPITAL CORP,2012-07-09,1207095022358525 DOGOVOR ZAYMA,USD,-90520,90520,71686.5,az
METASTAR INVEST LLP,INMAXO CAPITAL CORP,2012-07-13,1207135024578077 DOGOVOR ZAYMA,USD,-60,60,47.52,az
INMAXO CAPITAL CORP.,METASTAR INVEST LLP,2012-07-13,CONTRACT N 001 DD 24.12.2009,EUR,189352.15,239099,189352.15,az
INMAXO CAPITAL CORP.,METASTAR INVEST LLP,2012-07-13,1207135026233261 CONTRACT N 001 DD 24.12.2009,USD,225850,225850,178859.87,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-16,invoice 888 dd 09.06.2012,EUR,-103200,130313,103200,az
METASTAR INVEST LLP,ERREBI SPA,2012-07-16,1207165020172345 INVOICE 8456 DD 10.07.2012,EUR,-94000,118696,94000,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-16,1207165025935425 DOGOVOR ZAYMA,USD,-80000,80000,63355.28,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-16,1207165022969353 DOGOVOR ZAYMA,USD,-70000,70000,55435.87,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-16,1207165028140593 INVOICE 666 DD 06.06.2012,USD,-60000,60000,47516.46,az
METASTAR INVEST LLP,CST KIMYA SANAYI VE TICARET AS,2012-07-16,1207165020742469 INVOICE 743 DD 10.06.2012,USD,-55000,55000,43556.76,az
METASTAR INVEST LLP,SILVEA SCHIATTI+C.SRL,2012-07-16,1207165026491333 INVOICE 2-9 DD 11.07.2012,USD,-53000,53000,41972.87,az
METASTAR INVEST LLP,EGE KUR.KAMU FIN.VE TIC.MRKZ.SB.,2012-07-16,1207165022275789 AHMADOV ANAR SUBAR,USD,-36935,36935,29250.34,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-16,1207165021570793 INVOICE 666 DD 06.06.2012,USD,-34122,34122,27022.61,az
METASTAR INVEST LLP,UNIVAR,2012-07-16,1207165022255697 INVOICE 785 DD 13.07.2012,USD,-4505,4505,3567.69,az
METASTAR INVEST LLP,MERTIK MAXITROL GMBH&CO KG,2012-07-16,1207165020041457 INVOICE 01 DD 14.07.2012,EUR,-4414,5574,4414,az
METASTAR INVEST LLP,LINSTAR SYSTEMS CORP.,2012-07-16,1207165025774169 INVOICE 01 DD 01.05.12,USD,-1000,1000,791.94,az
INMAXO CAPITAL CORP.,METASTAR INVEST LLP,2012-07-16,1207165020140189 CONTRACT N 001 DD 24.12.2009,USD,28.93,29,22.91,az
LOTA SALES LLP,METASTAR INVEST LLP,2012-07-16,1207165021876577 DOGOVOR ZAYMA,USD,150000,150000,118791.15,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-16,1207165026198353 INVOICE.No 69 DD 13.07.2012,USD,150000,150000,118791.15,az
METASTAR INVEST LLP,OOO MAYAKPRINT,2012-07-17,1207175028296266 SHOT N 156 DD 05.04.2012,USD,-158832.54,158833,125786,az
METASTAR INVEST LLP,IMEX MOTORS L.L.C,2012-07-17,1207175026172670 INVOICE 001 DD 12.02.2012 FOR EQUIP MEN T,EUR,-150000,189409,150000,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-17,invoice 888 dd 09.06.2012,EUR,-145150,183284,145150,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-17,1207175024945082 invoice 888 dd 09.06.2012,USD,-111100,111100,87984.65,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-17,invoice 888 dd 09.06.2012,EUR,-72400,91421,72400,az
METASTAR INVEST LLP,CAHAN ISTANBUL DIS.TIC.LTD,2012-07-17,1207175023760670 INVOICE 2345 DD 08.07.2012,EUR,-68366,86328,68366,az
METASTAR INVEST LLP,MTG HANDELS UND CONSULTING GMBH,2012-07-17,1207175025570082 INVOICE 531 DD 01.04.2012,USD,-32000,32000,25342.11,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-17,1207175028320294 INVOICE 666 DD 06.06.2012,USD,-23485,23485,18598.73,az
