name,jurisdiction,type,name_norm
AZARBAYCAN METANOL KOMPANI MMC,AZ,Company,AZARBAYCAN METANOL KOMPANI MMC
LCM ALLIANCE LLP,GB,Company,LCM ALLIANCE LLP
SKN ELECTRICAL SERVICES LIMITEDACCO,GB,Company,SKN ELECTRICAL SERVICES LIMITED
METASTAR INVEST LLP,GB,Company,METASTAR INVEST LLP
INMAXO CAPITAL CORP.,VG,Company,INMAXO CAPITAL CORP.
LOTA SALES LLP,GB,Company,LOTA SALES LLP
MOBILA LLP,GB,Company,MOBILA LLP
DANSKE BANK A/S EESTI FILIAAL,EE,Company,Danske Bank A/S Estonia branch
JETFIELD NETWORKS LIMITED,NZ,Company,JETFIELD NETWORKS LIMITED
MUROVA SYSTEMS LLP,GB,Company,MUROVA SYSTEMS LLP
DEUTDEFFXXX,DE,Invalid,DEUTDEFFXXX
BONINVEST LLP,GB,Company,BONINVEST LLP
OVERTON SALES LLP,GB,Company,OVERTON SALES LLP
SOLIDSTAR WORLDWIDE LLP,GB,Company,SOLIDSTAR WORLDWIDE LLP
SOVER DEVELOPMENT LLP,GB,Company,SOVER DEVELOPMENT LLP
BKCHCNBJ,CN,Invalid,BKCHCNBJ
"ADANA INVESTMENT,LTD",US,Company,"ADANA INVESTMENT, LTD"
CLIMBFREE SOLUTIONS LIMITED,GB,Company,CLIMBFREE SOLUTIONS LIMITED
GLOBECOM TRADE L.P,GB,Company,GLOBECOM TRADE L.P.
LINSTAR SYSTEMS CORP.,US,Company,LINSTAR SYSTEMS CORP.
SKN ELECTRICAL SERVICES LIMITED,GB,Company,SKN ELECTRICAL SERVICES LIMITED
NEROX MOST LIMITED,NZ,Company,NEROX MOST LIMITED
AZMECO INTERNATIONAL FINANCE,AZ,Company,AZMECO INTERNATIONAL FINANCE
SPARKLING OIL STAR LTD,,Company,SPARKLING OIL STAR LTD.
POLYWIND TRADE LLP,GB,Company,POLYWIND TRADE LLP
BENTCARD IMPORT LLP,GB,Company,BENTCARD IMPORT LLP
LEWIS CORPORATION L P,GB,Company,LEWIS CORPORATION L P
BENARDO SOLUTIONS LLP,GB,Company,BENARDO SOLUTIONS LLP
MALAMO CAPITAL LLP,GB,Company,MALAMO CAPITAL LLP
DIGIMARK MERCHANTS  LLP,GB,Company,DIGIMARK MERCHANTS LLP
HOTSILVER INVESTMENTS LTD,CY,Company,HOTSILVER INVESTMENTS LTD
HILLSTAR COMPLEX  LLP,GB,Company,HILLSTAR COMPLEX LLP
DENITRIS,TR,Invalid,DENITRIS
JETMAX CONTRACTS LLP,GB,Company,JETMAX CONTRACTS LLP
SEMRA UZUNCIMEN,TR,Person,SEMRA UZUNCIMEN
RENWOOD TRADING INC,,Company,RENWOOD TRADING INC.
TDOMUS33,US,Invalid,TDOMUS33
SAMITEX TRADING LLP,GB,Company,SAMITEX TRADING LLP
PLASTEX PROJECTS LLP,GB,Company,PLASTEX PROJECTS LLP
UNIONSTAR TRADE LLP,GB,Company,UNIONSTAR TRADE LLP
ATTICO LOGISTICS LIMITED,CY,Company,ATTICO LOGISTICS LIMITED
BONWEST INDUSTRIAL  LLP,GB,Company,BONWEST INDUSTRIAL LLP
DANBELL  IMPORT  LLP,GB,Company,DANBELL IMPORT LLP
MERCEDES-BENZ BELGIUM LUXE,BE,Company,MERCEDES-BENZ BELGIUM LUXE
TRANS GROUP S.L.,ES,Company,TRANS GROUP S.L.
BSMAX LLP,GB,Company,BSMAX LLP
GOKNUR BAKI LTD MMC,AZ,Company,GOKNUR BAKI LTD MMC
LAPLAINE MANAGEMENT LIMITED AKARA B,VG,Company,LAPLAINE MANAGEMENT LIMITED
BARCGB22,GB,Invalid,BARCGB22
DOCKWOOD ALLIANCE LLP,GB,Company,DOCKWOOD ALLIANCE LLP
MONDOTECH LLP,GB,Company,MONDOTECH LLP
TIM ENERGY LLP,GB,Company,TIM ENERGY LLP
INTRAWAY ALLIANCE LLP,GB,Company,INTRAWAY ALLIANCE LLP
GOLDPIECE CORPORATION,,Company,GOLDPIECE CORPORATION
LANKOR TRADE LIMITED,,Company,LANKOR TRADE LIMITED
CARTELORT PRODUCTS LTD,,Company,CARTELORT PRODUCTS LTD
HIGH-RIDGE INVEST LTD,HK,Company,HIGH-RIDGE INVEST LTD
MILLWATER TRADING LTD,,Company,MILLWATER TRADING LTD
KANGARDO MANAGEMENT LIMITED,CY,Company,KANGARDO MANAGEMENT LIMITED
JSC ROSOBORONEXPORT,RU,Company,JSC ROSOBORONEXPORT
HEKTOR INVEST LIMITED,,Company,HEKTOR INVEST LIMITED
FORAL GROUP,US,Company,FORAL GROUP
EMERGOMED,NL,Company,EMERGOMED
LEYBURN SYSTEMS LLP,GB,Company,LEYBURN SYSTEMS LLP
MACRODANT FINANCIAL INC,,Company,MACRODANT FINANCIAL INC
FIRSTWOOD ALLIANCE LLP,GB,Company,FIRSTWOOD ALLIANCE LLP
RIVERLANE LLP,GB,Company,RIVERLANE LLP
WAN DE BERGER SERVICES LTD,CA,Company,WAN DE BERGER SERVICES LTD
ERELON TRADING LIMITED,CY,Company,ERELON TRADING LIMITED
FANEL DEVELOPMENT LIMITED,,Company,FANEL DEVELOPMENT LIMITED
AKKOTEX LTD,IN,Company,AKKOTEX LTD
JENGATE LIMITED,GB,Company,JENGATE LIMITED
MOUNTRAIN CORPORATION LIMITED,HK,Company,MOUNTRAIN CORPORATION LIMITED
CROFTLINK EXPORT LLP,GB,Company,CROFTLINK EXPORT LLP
ADANA TRADE LLP,GB,Company,ADANA TRADE LLP
ASTON GLOBAL L P,GB,Company,ASTON GLOBAL LP
